target,180.0
ms,dist,encL,encR,sp,state
1930,180.2,249,266,0.0,1
1940,180.2,249,266,0.0,1
1950,180.2,249,266,0.0,1
1960,180.2,249,266,0.0,1
1970,180.2,249,266,0.0,1
1980,180.2,249,266,0.0,1
1990,180.2,249,266,0.0,1
2000,180.2,249,266,0.0,1
2010,180.2,249,266,0.0,1
2020,180.2,249,266,0.0,1
2030,180.2,249,266,0.0,1
2040,180.2,249,266,0.0,1
2050,180.2,249,266,0.0,1
2060,180.2,249,266,0.0,1
2070,180.2,249,266,0.0,1
2080,180.2,249,266,0.0,1
2090,180.2,249,266,0.0,1
2100,180.2,249,266,0.0,1
2110,180.2,249,266,0.0,1
2120,180.2,249,266,0.0,1
2130,180.2,249,266,0.0,1
2140,180.2,249,266,0.0,1
2150,180.2,249,266,0.0,1
2160,180.2,249,266,0.0,1
2170,180.2,249,266,0.0,1
2180,180.2,249,266,0.0,1
2190,180.2,249,266,0.0,1
2200,180.2,249,266,0.0,1
2210,180.2,249,266,0.0,1
2220,180.2,249,266,0.0,1
2230,180.2,249,266,0.0,1
2240,180.2,249,266,0.0,1
2250,180.2,249,266,0.0,1
2260,180.2,249,266,0.0,1
2270,180.2,249,266,0.0,1
2280,180.2,249,266,0.0,1
2290,180.2,249,266,0.0,1
2300,180.2,249,266,0.0,1
2310,180.2,249,266,0.0,1
2320,180.2,249,266,0.0,1
2330,180.2,249,266,0.0,1
2340,180.2,249,266,0.0,1
2350,180.2,249,266,0.0,1
2360,180.2,249,266,0.0,1
2370,180.2,249,266,0.0,1
2380,180.2,249,266,0.0,1
2390,180.2,249,266,0.0,1
2400,180.2,249,266,0.0,1
2410,180.2,249,266,0.0,1
2420,180.2,249,266,0.0,1
2430,180.2,249,266,0.0,1
2440,180.2,249,266,0.0,1
2450,180.2,249,266,0.0,1
2460,180.2,249,266,0.0,1
2470,180.2,249,266,0.0,1
2480,180.2,249,266,0.0,1
2490,180.2,249,266,0.0,1
2500,180.2,249,266,0.0,1
2510,180.2,249,266,0.0,1
2520,180.2,249,266,0.0,1
2530,180.2,249,266,0.0,1
2540,180.2,249,266,0.0,1
2550,180.2,249,266,0.0,1
2560,180.2,249,266,0.0,1
2570,180.2,249,266,0.0,1
2580,180.2,249,266,0.0,1
2590,180.2,249,266,0.0,1
2600,180.2,249,266,0.0,1
2610,180.2,249,266,0.0,1
2620,180.2,249,266,0.0,1
2630,180.2,249,266,0.0,1
2640,180.2,249,266,0.0,1
2650,180.2,249,266,0.0,1
2660,180.2,249,266,0.0,1
2670,180.2,249,266,0.0,1
2680,180.2,249,266,0.0,1
2690,180.2,249,266,0.0,1
2700,180.2,249,266,0.0,1
2710,180.2,249,266,0.0,1
2720,180.2,249,266,0.0,1
2730,180.2,249,266,0.0,1
2740,180.2,249,266,0.0,1
2750,180.2,249,266,0.0,1
2760,180.2,249,266,0.0,1
2770,180.2,249,266,0.0,1
2780,180.2,249,266,0.0,1
2790,180.2,249,266,0.0,1
2800,180.2,249,266,0.0,1
2810,180.2,249,266,0.0,1
2820,179.9,248,266,0.0,1
2830,179.9,248,266,0.0,1
2840,179.9,248,266,0.0,1
2850,179.9,248,266,0.0,1
2860,179.9,248,266,0.0,1
2870,179.9,248,266,0.0,1
2880,179.9,248,266,0.0,1
2890,179.9,248,266,0.0,1
2900,179.9,248,266,0.0,1
2910,179.9,248,266,0.0,1
2920,179.9,248,266,0.0,1
2930,179.9,248,266,0.0,1
2940,179.9,248,266,0.0,1
2950,179.9,248,266,0.0,1
2960,179.9,248,266,0.0,1
2970,179.9,248,266,0.0,1
2980,179.9,248,266,0.0,1
2990,179.9,248,266,0.0,1
3000,179.9,248,266,0.0,1
3010,179.9,248,266,0.0,1
3020,179.9,248,266,0.0,1
3030,179.9,248,266,0.0,1
3040,179.9,248,266,0.0,1
3050,179.9,248,266,0.0,1
3060,179.9,248,266,0.0,1
3070,179.9,248,266,0.0,1
3080,179.9,248,266,0.0,1
3090,179.9,248,266,0.0,1
3100,179.9,248,266,0.0,1
3110,179.9,248,266,0.0,1
3120,179.9,248,266,0.0,1
3130,179.9,248,266,0.0,1
3140,179.9,248,266,0.0,1
3150,179.9,248,266,0.0,1
3160,179.9,248,266,0.0,1
3170,179.9,248,266,0.0,1
3180,179.9,248,266,0.0,1
3190,179.9,248,266,0.0,1
3200,179.9,248,266,0.0,1
3210,179.9,248,266,0.0,1
3220,179.9,248,266,0.0,1
3230,179.9,248,266,0.0,1
3240,179.9,248,266,0.0,1
3250,179.9,248,266,0.0,1
3260,179.9,248,266,0.0,1
3270,179.9,248,266,0.0,1
3280,179.9,248,266,0.0,1
3290,179.9,248,266,0.0,1
3300,179.9,248,266,0.0,1
3310,179.9,248,266,0.0,1
3320,179.9,248,266,0.0,1
3330,179.9,248,266,0.0,1
3340,179.9,248,266,0.0,1
3350,179.9,248,266,0.0,1
3360,179.9,248,266,0.0,1
3370,179.9,248,266,0.0,1
3380,179.9,248,266,0.0,1
3390,179.9,248,266,0.0,1
3400,179.9,248,266,0.0,1
3410,179.9,248,266,0.0,1
3420,179.9,248,266,0.0,1
3430,179.9,248,266,0.0,1
3440,179.9,248,266,0.0,1
3450,179.9,248,266,0.0,1
3460,179.9,248,266,0.0,1
3470,179.9,248,266,0.0,1
3480,179.9,248,266,0.0,1
3490,179.9,248,266,0.0,1
3500,179.9,248,266,0.0,1
3510,179.9,248,266,0.0,1
3520,179.9,248,266,0.0,1
3530,179.9,248,266,0.0,1
3540,179.9,248,266,0.0,1
3550,179.9,248,266,0.0,1
3560,179.9,248,266,0.0,1
3570,179.9,248,266,0.0,1
3580,179.9,248,266,0.0,1
3590,179.9,248,266,0.0,1
3600,179.9,248,266,0.0,1
3610,179.9,248,266,0.0,1
3620,179.9,248,266,0.0,1
3630,179.9,248,266,0.0,1
3640,179.9,248,266,0.0,1
3650,179.9,248,266,0.0,1
3660,179.9,248,266,0.0,1
3670,179.9,248,266,0.0,1
3680,179.9,248,266,0.0,1
3690,179.9,248,266,0.0,1
3700,179.9,248,266,0.0,1
3710,179.9,248,266,0.0,1
3720,179.9,248,266,0.0,1
3730,179.9,248,266,0.0,1
3740,179.9,248,266,0.0,1
3750,179.9,248,266,0.0,1
3760,179.9,248,266,0.0,1
3770,179.9,248,266,0.0,1
3780,179.9,248,266,0.0,1
3790,179.9,248,266,0.0,1
3800,179.9,248,266,0.0,1
3810,179.9,248,266,0.0,1
3820,179.9,248,266,0.0,1
3830,179.9,248,266,0.0,1
3840,179.9,248,266,0.0,1
3850,179.9,248,266,0.0,1
3860,179.9,248,266,0.0,1
3870,179.9,248,266,0.0,1
3880,179.9,248,266,0.0,1
3890,179.9,248,266,0.0,1
3900,179.9,248,266,0.0,1
3910,179.9,248,266,0.0,1
3920,179.9,248,266,0.0,1
3930,179.9,248,266,0.0,1
3940,179.9,248,266,0.0,1
3950,179.9,248,266,0.0,1
3960,179.9,248,266,0.0,1
3970,179.9,248,266,0.0,1
3980,179.9,248,266,0.0,1
3990,179.9,248,266,0.0,1
4000,179.9,248,266,0.0,1
4010,179.9,248,266,0.0,1
4020,179.9,248,266,0.0,1
4030,179.9,248,266,0.0,1
4040,179.9,248,266,0.0,1
4050,179.9,248,266,0.0,1
4060,179.9,248,266,0.0,1
4070,179.9,248,266,0.0,1
4080,179.9,248,266,0.0,1
4090,179.9,248,266,0.0,1
4100,179.9,248,266,0.0,1

