target,75.3
ms,arc,deg,pvL,pvR,sp,state
1520,75.6,90.2,0,0,0.0,1
1530,75.6,90.2,0,0,0.0,1
1540,75.6,90.2,0,0,0.0,1
1550,75.6,90.2,0,0,0.0,1
1560,75.6,90.2,0,0,0.0,1
1570,75.6,90.2,0,0,0.0,1
1580,75.6,90.2,0,0,0.0,1
1590,75.6,90.2,0,0,0.0,1
1600,75.6,90.2,0,0,0.0,1
1610,75.6,90.2,0,0,0.0,1
1620,75.6,90.2,0,0,0.0,1
1630,75.6,90.2,0,0,0.0,1
1640,75.6,90.2,0,0,0.0,1
1650,75.6,90.2,0,0,0.0,1
1660,75.6,90.2,0,0,0.0,1
1670,75.6,90.2,0,0,0.0,1
1680,75.6,90.2,0,0,0.0,1
1690,75.6,90.2,0,0,0.0,1
1700,75.6,90.2,0,0,0.0,1
1710,75.6,90.2,0,0,0.0,1
1720,75.6,90.2,0,0,0.0,1
1730,75.6,90.2,0,0,0.0,1
1740,75.6,90.2,0,0,0.0,1
1750,75.6,90.2,0,0,0.0,1
1760,75.6,90.2,0,0,0.0,1
1770,75.6,90.2,0,0,0.0,1
1780,75.6,90.2,0,0,0.0,1
1790,75.6,90.2,0,0,0.0,1
1800,75.6,90.2,0,0,0.0,2

